# Rime user dictionary
#@/db_name	luna_pinyin
#@/db_type	userdb
#@/rime_version	1.7.3
#@/tick	13888
#@/user_id	68f0eb48-92c8-401d-96d2-9347ba0bc0d7
a 	啊	c=44 d=0.579247 t=13866
a de le 	阿德勒	c=2 d=1.99005 t=1506
a ha 	啊哈	c=2 d=1 t=5071
a li 	阿里	c=1 d=1 t=10154
a li yun 	阿里云	c=2 d=1.00202 t=7787
a tu 	阿土	c=0 d=0.1 t=9372
a zhe 	啊这	c=2 d=1 t=10519
ai 	唉	c=2 d=1.82283 t=13078
ai 	愛	c=1 d=1.0004 t=4763
ai hao 	愛好	c=1 d=1 t=9758
ai li ke sen 	埃里克森	c=2 d=1.00001 t=4071
ai qing 	愛情	c=3 d=0.11134 t=7577
ai qing neng gou 	愛情能夠	c=1 d=1 t=7578
ai rui 	艾瑞	c=1 d=1 t=6942
ai si wei er 	爱思唯尔	c=1 d=1 t=2990
ai wo yu gan 	愛我預感	c=5 d=3.0688 t=8282
ai xue xi 	愛學習	c=1 d=1 t=2333
an 	按	c=2 d=1 t=6212
an hui 	安徽	c=1 d=1 t=12876
an li 	案例	c=1 d=1 t=10070
an niu 	按鈕	c=2 d=1.00007 t=6202
an pai 	安排	c=1 d=1 t=5649
an quan 	安全	c=8 d=1.76909 t=13861
an quan gan 	安全感	c=2 d=1 t=8829
an quan yi lian 	安全依戀	c=1 d=1 t=1803
an shi 	按時	c=1 d=1 t=2189
an tu suo ji 	按圖索驥	c=1 d=1 t=10286
an xin 	安心	c=1 d=1 t=2625
an zhao 	按照	c=6 d=1 t=10559
an zhuan 	暗轉	c=2 d=1.956 t=1203
an zhuang 	安裝	c=6 d=1 t=12345
an zhuo 	安卓	c=3 d=1.98517 t=13693
ang 	昂	c=3 d=1 t=13709
ang luo 	昂落	c=1 d=1 t=3207
ao 	凹	c=2 d=1.1653 t=4143
ao 	嗷	c=1 d=1 t=3622
ao mi ke rong 	奧密克戎	c=2 d=1.99005 t=2821
ao si gu de 	奥斯古德	c=1 d=1 t=1582
ao yun hui 	奧運會	c=1 d=1 t=12020
ba 	八	c=2 d=1.02237 t=5372
ba 	吧	c=39 d=2.00322 t=13888
ba 	把	c=25 d=1 t=13598
ba ba la 	芭芭拉	c=3 d=2.60506 t=7021
ba gua 	八卦	c=1 d=1 t=12568
ba le 	罷了	c=1 d=1 t=7587
ba qi 	八期	c=2 d=1.99005 t=3882
ba wo 	把握	c=1 d=1 t=6235
bai 	拜	c=1 d=1 t=3845
bai 	白	c=4 d=1.75201 t=13210
bai 	百	c=3 d=2.70182 t=1752
bai bai 	拜拜	c=1 d=1.0278 t=4355
bai bai le 	拜拜了	c=1 d=1 t=4100
bai du 	百度	c=9 d=2.1261 t=6156
bai jia 	百家	c=2 d=1.23457 t=1703
bai ke 	百科	c=1 d=1 t=1706
bai tian 	白天	c=1 d=1 t=2762
ban 	伴	c=1 d=1 t=9898
ban 	半	c=0 d=0.1 t=2694
ban 	搬	c=1 d=1 t=137
ban 	版	c=1 d=1 t=10158
ban 	班	c=1 d=1 t=8393
ban 	般	c=1 d=1 t=4693
ban 	辦	c=1 d=1 t=8695
ban ben 	版本	c=9 d=1.48432 t=11100
ban bu 	頒佈	c=1 d=1 t=5967
ban dao 	絆倒	c=1 d=1 t=4728
ban fa 	辦法	c=2 d=1.72253 t=10641
ban jia 	搬家	c=1 d=1 t=12256
ban jiao 	半角	c=5 d=3.96032 t=6018
ban li 	辦理	c=1 d=1 t=738
ban lv 	伴侶	c=10 d=2.28219 t=7321
ban sui 	伴隨	c=0 d=0.1 t=5657
ban sui le 	伴隨了	c=1 d=1 t=5658
ban xiao shi 	半小時	c=2 d=1 t=11588
bang 	幫	c=2 d=1.02417 t=13114
bang 	棒	c=1 d=1 t=8015
bang mang 	幫忙	c=1 d=1 t=12188
bang ni 	幫你	c=1 d=1 t=162
bang wo men 	幫我們	c=1 d=1 t=12831
bang yang 	榜樣	c=2 d=1.1979 t=9684
bang zhu 	幫助	c=1 d=0.1 t=13580
bang zhu ni 	幫助你	c=1 d=1 t=13581
bao 	包	c=2 d=1 t=11292
bao bao 	寶寶	c=1 d=1.099 t=7562
bao bao a 	寶寶啊	c=1 d=1 t=7561
bao chang huo 	包昌火	c=2 d=1.24908 t=11573
bao chi 	保持	c=3 d=1 t=9864
bao cun 	保存	c=3 d=1.00046 t=9297
bao cuo 	報錯	c=1 d=1 t=205
bao er 	鮑爾	c=1 d=1 t=1583
bao fa 	爆發	c=0 d=0.1 t=7048
bao fa le 	爆發了	c=1 d=1 t=7049
bao gao 	報告	c=15 d=2.00326 t=13356
bao guang 	曝光	c=2 d=1 t=12100
bao guo 	包裹	c=1 d=1 t=2309
bao han 	包含	c=1 d=1 t=11460
bao han le 	包含了	c=1 d=1 t=5357
bao kao 	報考	c=2 d=1.02128 t=13251
bao kuo 	包括	c=1 d=1 t=11477
bao ling qiu 	保齡球	c=1 d=1 t=4476
bao liu 	保留	c=1 d=1 t=175
bao lu 	報錄	c=0 d=0.1 t=12485
bao lu bi 	報錄比	c=6 d=3.47359 t=13231
bao ming 	報名	c=1 d=1 t=13240
